No.,PM,Temperatura,L1,L2,FP,Inflamabilidad,NFPA reactivity (unitless),HMIS flammability,HMIS reactivity
733,158,297,1,8,66,2,0,,
346,100.18,300,1.2,9.3,66,2,0,1,1
1453,144,443,1.8,11.7,66,2,0,2,0
472,87.12,490,1.8,11.5,66,2,0,2,0
403,147,646,1.8,7.8,66,2,0,2,1
405,147,648,2.2,9.2,66,2,0,1,1
212,118.2,238,1.1,12.7,67,2,0,2,0
1018,104.15,305,1.5,12.7,67,2,0,2,0
1013,86.09,370,1.6,8.8,67,2,2,,
142,126.6,585,1.1,14,67,3,1,,
834,118.2,244,1.1,10.6,68,1,0,1,0
1046,114.19,295,1,100,68,2,0,2,0
673,130.14,295,1.4,9.5,68,2,0,,
1117,118.17,395,1.2,13.1,68,2,0,2,0
69,93.1,615,1.2,11,70,2,0,2,0
432,162.26,174,0.9,10.1,71,2,0,,
521,170.34,203,0.6,4.9,71,2,0,2,1
945,75.11,335,1.9,10.4,71,2,0,,
695,160.24,340,0.88,8.54,71,2,0,,
599,160.21,340,0.88,8.54,71,2,0,2,0
986,146.19,382,1,7.9,71,2,0,,
1549,132.21,384,0.8,5,71,2,0,,
704,130.23,288,0.88,9.7,73,2,0,,
1544,102.15,282,1.5,9.7,74,1,1,,
1545,102.13,282,1.5,9.7,74,2,0,,
1496,120.15,498,1.1,22,74,2,0,,
524,148.2,207,1.1,14,75,2,0,,
1579,185.35,210,1.4,6,75,2,0,,
995,154.25,235,0.9,5.2,75,2,0,,
131,103.1,550,1.3,8,75,2,0,2,0
1030,75.11,350,1.6,17.7,76,2,0,2,0
882,186.38,185,0.6,5.5,77,2,0,2,0
745,175,225,0.6,5,77,1,0,1,0
734,172,298,1,8,77,2,0,,
1433,370.77,392,0.7,100,77,2,0,2,0
429,162.23,210,0.85,24.6,78,2,1,,
1050,148.2,205,1.3,8.7,79,2,0,,
872,114.16,400,1.5,100,79,1,0,,
1616,76.11,400,2.6,16.6,79,2,0,2,0
1213,94.11,715,1.7,8.6,80,2,0,,
1161,130.26,273,0.9,6.4,81,2,0,2,0
333,108.2,599,1.4,7.6,81,2,0,1,1
377,158.32,255,0.9,5.7,82,2,0,,
929,130.26,277,0.9,5.7,82,2,0,,
1022,124.1,385,1.3,9.6,82,2,1,,
13,120.1,571,1.4,6.7,82,2,0,2,0
1591,147.43,304,3.2,12.6,82.2,2,0,,
501,126.13,450,3.6,23.3,83,2,0,,
1034,136.15,505,1.2,6.7,83,2,0,2,0
833,118.2,215,1.38,22.7,83.9,2,0,2,0
1645,102.13,410,2.7,7.6,84,2,0,,
515,148.2,270,1.3,10.4,85,2,0,,
516,190.14,340,1.21,5.35,85,1,0,,
207,90.12,402,1.9,13.7,85,2,0,,
233,90.12,402,1.9,13.7,85,0,0,0,0
664,61.1,410,3.4,27,85,2,0,2,1
797,30.03,430,7,73,85,4,0,,
942,138.21,460,0.8,3.8,85,2,0,,
1575,107.16,482,1.5,100,85,2,0,,
79,132.2,272,1.5,10,86,2,0,2,0
332,108.15,558,1.1,7.6,86,2,0,1,1
334,108.2,559,1,7.6,86,2,0,1,1
500,146.14,365,1,8.6,86.6,2,0,2,0
525,190.2,340,1.21,5.35,87.5,1,0,,
527,176.2,205,0.68,100,88,2,0,,
1137,123.1,480,1.8,40,88,2,0,,
689,146.15,482,1.6,8.4,88,1,0,,
126,161,525,1,11,88,2,1,,
735,186,299,1,8,90,2,0,,
593,134.17,204,1.2,23.5,91,1,0,2,0
439,176.24,266,1,19.4,91,1,0,,
1093,99.15,245,1.3,9.5,92,2,0,2,0
1092,99.14,346,1.3,9.5,92.78,1,0,2,0
204,90.12,360,2.4,13.5,93,2,0,,
881,118.17,425,1,9.9,93,1,0,,
138,108.1,436,1.3,13,93,1,0,,
232,90.1,392,1.9,13,93.4,1,0,1,0
503,78.14,215,2.6,42,95,1,0,,
1705,111.14,240,1.4,10,95,1,0,1,0
939,179,254,0.5,4.8,95,2,0,2,0
825,100.12,395,1.5,50,95,0,1,,
92,161,491,0.7,5.3,95,2,0,2,0
1715,122.17,600,1.1,6.4,95,1,0,1,1
440,120.17,215,1.38,22.7,96,1,0,,
746,177,247,0.6,5,96,1,0,1,0
231,204.3,290,0.6,5.3,96,1,0,1,1
1094,152.15,453,1.2,7.2,96,1,0,1,1
256,86.1,455,3.6,16,98,1,0,1,0
230,162.22,225,0.9,5.9,99,2,0,,
419,181.32,255,0.8,4.6,99,1,0,1,1
1281,76.11,371,2.6,12.5,99,1,0,,
1605,182.16,455,1.7,10,99,1,1,,
1292,158.28,265,0.5,5.7,100,1,0,1,0
736,200,300,1,8,100,1,0,,
1455,165,484,1.8,11.7,100,1,0,1,0
721,166.18,490,1,6.1,100,1,0,1,0
